SSE instructions up to 32x32
2x2 Unrolled loop
>32 Blocking


 0x80000032 = PAPI_TOT_INS	Instr completed
 0x8000003b = PAPI_TOT_CYC	Total cycles
 0x80000061 = PAPI_FML_INS	FPU multiply
 0x80000038 = PAPI_VEC_INS	Vector/SIMD instr

Dim.   MFLOPS     Runtime      0x80000032   0x8000003b   0x80000061   0x80000038
   2 1857.741      0.0000              48           20            4            4
   4 2151.780      0.0001             384          138           32           32
   8 2562.470      0.0004            2392          928          259          256
  16 2458.248      0.0033           17544         7742         2210         2048
  32 2792.578      0.0235          135400        54510        16907        16384
  64 1187.962      0.4413         2214530      1025368       283978            0
 128 1161.750      3.6103        17715522      8393950      2156885            0
 256  744.888     45.0463       141722638    104496294     16853054            0
 512  713.879    376.0237      1133776655    873766525    135324104            0
1024  688.253   3120.1950      9070197459   7258617889   1082330634            0
2048  672.202  25557.5970     72561521403  59389661702   8647395165            0

