 0x80000032 = PAPI_TOT_INS	Instr completed
 0x8000003b = PAPI_TOT_CYC	Total cycles
 0x80000000 = PAPI_L1_DCM	L1D cache misses
 0x80000007 = PAPI_L2_TCM	L2 cache misses

Dim.   MFLOPS     Runtime      0x80000032   0x8000003b   0x80000000   0x80000007
   2  681.757      0.0000             133           54            0            0
   4  747.658      0.0002             681          398            0            0
   8  757.336      0.0014            4633         3142            0            0
  16  755.739      0.0108           34713        25188            0            0
  32  681.335      0.0962          269593       223393           28            0
  64  577.418      0.9080         2126362      2119189        24481            0
 128  331.329     12.6590        16892960     29443080      2427567            5
 256  226.705    148.0093       134678636    343455659     24921864         2106
 512  125.429   2140.1340      1075581884   4971951836    250905660     24119208
1024  --- Measurement is taking too long... aborting.


